0,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
22:00,12.7,Despejado,0,51%,0%,WSW,16.6,34,10,,,,,,,,,,
23:00,13.2,Despejado,0,49%,0%,WSW,24.5,46.4,10,,,,,,,,,,
1,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,12.8,Despejado,0,50%,0%,WSW,20.5,39.1,10,,,,,,,,,,
1:00,12.5,Despejado,0,52%,0%,W,23.8,45.3,10,,,,,,,,,,
2:00,12.7,Despejado,0,53%,0%,W,25.9,48.3,10,,,,,,,,,,
3:00,12.3,Despejado,0,55%,0%,WSW,23.4,45.7,10,,,,,,,,,,
4:00,12.3,Despejado,0,57%,0%,WSW,26.3,50.7,10,,,,,,,,,,
5:00,12.5,Despejado,0,59%,0%,WSW,31,57.6,10,,,,,,,,,,
6:00,12.6,Despejado,0,59%,0%,W,33.1,60,10,,,,,,,,,,
7:00,12.4,Soleado,0,60%,0%,W,29.5,54.6,10,,,,,,,,,,
8:00,12.2,Soleado,0,61%,0%,W,24.1,44.2,10,,,,,,,,,,
9:00,13.5,Soleado,0,56%,0%,WNW,21.6,32.6,10,,,,,,,,,,
10:00,15.3,Soleado,0,48%,10%,NW,22.7,27.8,10,,,,,,,,,,
11:00,16.6,Parcialmente nublado,0,42%,42%,NW,27.4,31.5,10,,,,,,,,,,
12:00,16.3,Lluvia moderada a intervalos,"0,0",40%,89%,NNW,26.6,30.6,10,,,,,,,,,,
13:00,14.5,Lluvia moderada a intervalos,"0,0",32%,58%,N,30.6,39.4,10,,,,,,,,,,
14:00,15.7,Lluvia moderada a intervalos,"0,0",20%,82%,NNW,26.3,32.5,10,,,,,,,,,,
15:00,15.8,Soleado,0,16%,13%,NNW,28.1,36.7,10,,,,,,,,,,
16:00,16,Soleado,0,14%,0%,N,30.6,37.9,10,,,,,,,,,,
17:00,15.3,Despejado,0,14%,0%,N,24.8,34.2,10,,,,,,,,,,
18:00,12.4,Despejado,0,17%,0%,NNW,16.6,32.3,10,,,,,,,,,,
19:00,10.5,Despejado,0,21%,0%,NNW,12.6,26.5,10,,,,,,,,,,
20:00,9.7,Despejado,0,23%,14%,NNW,10.8,22.7,10,,,,,,,,,,
21:00,9.2,Despejado,0,24%,6%,NW,8.3,17.4,10,,,,,,,,,,
22:00,8.9,Despejado,0,25%,15%,NW,7.6,15.9,10,,,,,,,,,,
23:00,8.5,Cielo cubierto,0,25%,97%,NW,4,8.3,10,,,,,,,,,,
1,2, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,8.7,Nublado,0,18%,80%,W,3.6,7.6,10,,,,,,,,,,
1:00,9.1,Despejado,0,18%,20%,SW,2.5,5.3,10,,,,,,,,,,
2:00,8.7,Despejado,0,18%,21%,SSE,2.9,6,10,,,,,,,,,,
3:00,8,Despejado,0,19%,19%,SE,3.2,6.8,10,,,,,,,,,,
4:00,8.2,Despejado,0,18%,2%,SSE,5.4,11.3,10,,,,,,,,,,
5:00,7.5,Despejado,0,19%,0%,SE,3.2,6.8,10,,,,,,,,,,
6:00,7.1,Despejado,0,20%,0%,ENE,5,10.6,10,,,,,,,,,,
7:00,6.7,Soleado,0,20%,0%,E,5.4,11.3,10,,,,,,,,,,
8:00,6.8,Soleado,0,21%,3%,ENE,4,8.3,10,,,,,,,,,,
9:00,9.8,Soleado,0,18%,0%,E,3.2,5.9,10,,,,,,,,,,
10:00,12.4,Soleado,0,15%,1%,E,2.9,3.8,10,,,,,,,,,,
11:00,14,Soleado,0,13%,0%,ESE,2.9,3.5,10,,,,,,,,,,
12:00,15.3,Soleado,0,12%,2%,E,2.9,3.4,10,,,,,,,,,,
13:00,16.2,Soleado,0,11%,2%,ESE,2.5,2.9,10,,,,,,,,,,
14:00,16.8,Soleado,0,10%,4%,ESE,0.4,0.4,10,,,,,,,,,,
15:00,17.1,Soleado,0,10%,4%,E,2.5,3,10,,,,,,,,,,
16:00,17.2,Soleado,0,10%,4%,E,1.1,1.4,10,,,,,,,,,,
17:00,16.4,Despejado,0,11%,5%,SE,3.2,4.7,10,,,,,,,,,,
18:00,12.8,Despejado,0,14%,4%,ESE,1.8,3.8,10,,,,,,,,,,
19:00,11.3,Despejado,0,16%,4%,ENE,4.3,9.1,10,,,,,,,,,,
20:00,10.3,Despejado,0,18%,4%,ENE,3.2,6.8,10,,,,,,,,,,
21:00,9.9,Despejado,0,18%,4%,NNE,2.5,5.3,10,,,,,,,,,,
22:00,9.4,Despejado,0,19%,9%,NE,1.8,3.8,10,,,,,,,,,,
23:00,9.5,Despejado,0,18%,5%,SSW,4,8.3,10,,,,,,,,,,
1,3, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,9.4,Despejado,0,19%,14%,E,5,10.6,10,,,,,,,,,,
1:00,9,Despejado,0,19%,3%,SE,3.6,7.6,10,,,,,,,,,,
2:00,8.8,Despejado,0,19%,3%,ESE,4.7,9.8,10,,,,,,,,,,
3:00,8.7,Despejado,0,19%,17%,E,6.5,13.6,10,,,,,,,,,,
4:00,8.3,Despejado,0,20%,19%,E,4.3,9.1,10,,,,,,,,,,
5:00,8,Despejado,0,20%,12%,E,3.2,6.8,10,,,,,,,,,,
6:00,7.7,Despejado,0,21%,2%,ENE,2.5,5.3,10,,,,,,,,,,
7:00,7.4,Soleado,0,21%,0%,NNE,3.2,6.8,10,,,,,,,,,,
8:00,7.6,Soleado,0,22%,0%,NNE,0.7,1.5,10,,,,,,,,,,
9:00,10.5,Soleado,0,19%,0%,SE,1.8,3.1,10,,,,,,,,,,
10:00,12.9,Soleado,0,15%,0%,SSE,3.2,4.3,10,,,,,,,,,,
11:00,14.7,Soleado,0,14%,0%,E,2.5,3.1,10,,,,,,,,,,
12:00,16.1,Soleado,0,13%,0%,ESE,2.2,2.5,10,,,,,,,,,,
13:00,17.1,Soleado,0,13%,1%,ESE,2.2,2.5,10,,,,,,,,,,
14:00,17.9,Soleado,0,12%,3%,SE,3.6,4.2,10,,,,,,,,,,
15:00,18.4,Soleado,0,12%,4%,SE,5,6.1,10,,,,,,,,,,
16:00,18.7,Soleado,0,13%,4%,SE,6.5,8,10,,,,,,,,,,
17:00,17.9,Despejado,0,14%,4%,SE,7.2,10.1,10,,,,,,,,,,
18:00,15,Despejado,0,17%,6%,ESE,8.6,17.6,10,,,,,,,,,,
19:00,13.9,Despejado,0,19%,5%,ESE,7.2,15.1,10,,,,,,,,,,
20:00,13.1,Despejado,0,20%,7%,ESE,7.2,15.1,10,,,,,,,,,,
21:00,12.6,Despejado,0,21%,4%,SE,7.2,15.1,10,,,,,,,,,,
22:00,12.4,Despejado,0,22%,3%,SSE,10.4,21.9,10,,,,,,,,,,
23:00,11.7,Despejado,0,23%,0%,SSE,5.4,11.3,10,,,,,,,,,,
1,4, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,11.7,Despejado,0,23%,0%,SSE,5.4,11.3,10,,,,,,,,,,
1:00,11.4,Despejado,0,24%,0%,SSE,5.4,11.3,10,,,,,,,,,,
2:00,10.9,Despejado,0,25%,5%,ESE,4.7,9.8,10,,,,,,,,,,
3:00,10.4,Despejado,0,26%,0%,ESE,3.6,7.6,10,,,,,,,,,,
4:00,10,Despejado,0,27%,0%,ESE,4.3,9.1,10,,,,,,,,,,
5:00,9.7,Despejado,0,28%,3%,ESE,3.2,6.8,10,,,,,,,,,,
6:00,9.6,Despejado,0,29%,4%,ESE,4.3,9.1,10,,,,,,,,,,
7:00,9.6,Soleado,0,31%,3%,ENE,5.8,12.1,10,,,,,,,,,,
8:00,9.7,Soleado,0,34%,0%,E,4.7,9.8,10,,,,,,,,,,
9:00,12.1,Soleado,0,32%,0%,ENE,2.9,4.9,10,,,,,,,,,,
10:00,14.4,Soleado,0,30%,0%,NW,1.1,1.4,10,,,,,,,,,,
11:00,16.4,Soleado,0,31%,0%,WNW,5.4,6.5,10,,,,,,,,,,
12:00,18.1,Soleado,0,32%,0%,NW,9.4,10.8,10,,,,,,,,,,
13:00,19.2,Soleado,0,33%,2%,NW,9.7,11.2,10,,,,,,,,,,
14:00,20.2,Soleado,0,34%,2%,NW,11.2,12.9,10,,,,,,,,,,
15:00,21.1,Soleado,0,33%,3%,NNW,14,16.2,10,,,,,,,,,,
16:00,20.8,Soleado,0,31%,4%,N,18.4,21.8,10,,,,,,,,,,
17:00,19.6,Despejado,0,32%,3%,N,13.3,18,10,,,,,,,,,,
18:00,16.2,Despejado,0,38%,3%,N,7.2,15,10,,,,,,,,,,
19:00,14.7,Despejado,0,41%,3%,N,4.3,9.1,10,,,,,,,,,,
20:00,14.1,Despejado,0,43%,3%,WNW,5,10.6,10,,,,,,,,,,
21:00,13.6,Despejado,0,45%,2%,WNW,6.5,13.6,10,,,,,,,,,,
22:00,13,Despejado,0,48%,5%,NW,5.4,11.3,10,,,,,,,,,,
23:00,12.6,Despejado,0,51%,7%,NNW,4,8.3,10,,,,,,,,,,
1,5, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,12.5,Despejado,0,36%,3%,N,4.7,9.8,10,,,,,,,,,,
1:00,12.2,Cielo cubierto,0,38%,100%,NNW,5,10.6,10,,,,,,,,,,
2:00,12.2,Cielo cubierto,0,39%,99%,NW,4.3,9.1,10,,,,,,,,,,
3:00,12.3,Parcialmente nublado,0,40%,33%,NNW,5,10.6,10,,,,,,,,,,
4:00,11.7,Parcialmente nublado,0,42%,43%,NNW,4.7,9.8,10,,,,,,,,,,
5:00,11.5,Parcialmente nublado,0,45%,32%,NNW,3.6,7.6,10,,,,,,,,,,
6:00,11.3,Parcialmente nublado,0,47%,47%,NNW,2.9,6,10,,,,,,,,,,
7:00,11.2,Parcialmente nublado,0,47%,33%,NNE,2.5,5.3,10,,,,,,,,,,
8:00,11.5,Soleado,0,48%,10%,E,1.1,2.3,10,,,,,,,,,,
9:00,14,Soleado,0,42%,14%,ESE,1.1,1.9,10,,,,,,,,,,
10:00,16.5,Soleado,0,35%,8%,S,0.7,1,10,,,,,,,,,,
11:00,18.3,Soleado,0,31%,13%,NNE,0.4,0.4,10,,,,,,,,,,
12:00,19.8,Parcialmente nublado,0,28%,33%,ESE,3.2,3.8,10,,,,,,,,,,
13:00,20.7,Cielo cubierto,0,26%,100%,ESE,2.5,2.9,10,,,,,,,,,,
14:00,21.3,Nublado,0,25%,84%,ESE,4.3,5.1,10,,,,,,,,,,
15:00,21.5,Soleado,0,24%,4%,ESE,4.3,5.3,10,,,,,,,,,,
16:00,21.7,Soleado,0,24%,9%,ESE,5.4,6.8,10,,,,,,,,,,
17:00,20.8,Despejado,0,26%,12%,ESE,5.4,7.8,10,,,,,,,,,,
18:00,17.5,Despejado,0,33%,21%,ESE,6.1,12.9,10,,,,,,,,,,
19:00,15.9,Parcialmente nublado,0,37%,30%,E,5.4,11.3,10,,,,,,,,,,
20:00,15.2,Parcialmente nublado,0,39%,45%,NNE,1.8,3.8,10,,,,,,,,,,
21:00,14.6,Despejado,0,40%,19%,NNW,2.5,5.3,10,,,,,,,,,,
22:00,14.2,Despejado,0,41%,9%,WNW,3.2,6.8,10,,,,,,,,,,
23:00,13.8,Despejado,0,42%,5%,NW,4.7,9.8,10,,,,,,,,,,
1,6, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,13.1,Despejado,0,41%,12%,N,3.6,7.6,10,,,,,,,,,,
1:00,12.8,Despejado,0,41%,8%,N,4.3,9.1,10,,,,,,,,,,
2:00,12.5,Despejado,0,42%,7%,NNW,2.9,6,10,,,,,,,,,,
3:00,12.3,Despejado,0,42%,9%,NW,3.6,7.6,10,,,,,,,,,,
4:00,12,Despejado,0,43%,9%,NW,3.2,6.8,10,,,,,,,,,,
5:00,11.8,Despejado,0,43%,7%,NW,3.2,6.8,10,,,,,,,,,,
6:00,11.5,Despejado,0,45%,3%,NNW,2.5,5.3,10,,,,,,,,,,
7:00,11.3,Soleado,0,46%,3%,NNW,1.4,3,10,,,,,,,,,,
8:00,11.7,Soleado,0,45%,2%,WNW,0.7,1.5,10,,,,,,,,,,
9:00,14.7,Soleado,0,38%,8%,N,0.7,1.3,10,,,,,,,,,,
10:00,17.3,Soleado,0,32%,5%,NNE,2.2,2.9,10,,,,,,,,,,
11:00,19.1,Soleado,0,29%,0%,NNE,4,4.8,10,,,,,,,,,,
12:00,20.5,Soleado,0,27%,0%,NE,3.6,4.2,10,,,,,,,,,,
13:00,21.6,Soleado,0,25%,0%,NNE,1.8,2.1,10,,,,,,,,,,
14:00,22.3,Soleado,0,24%,9%,NE,2.2,2.5,10,,,,,,,,,,
15:00,22.7,Soleado,0,23%,3%,E,2.5,3,10,,,,,,,,,,
16:00,22.6,Soleado,0,23%,6%,ESE,4,5,10,,,,,,,,,,
17:00,21.8,Despejado,0,25%,2%,ESE,3.2,4.6,10,,,,,,,,,,
18:00,18,Despejado,0,31%,3%,E,2.2,4.5,10,,,,,,,,,,
19:00,16.5,Despejado,0,34%,3%,ENE,2.2,4.5,10,,,,,,,,,,
20:00,15.7,Despejado,0,36%,3%,NE,2.9,6,10,,,,,,,,,,
21:00,15.1,Despejado,0,38%,2%,NNW,1.8,3.8,10,,,,,,,,,,
22:00,14.7,Parcialmente nublado,0,39%,32%,N,2.2,4.5,10,,,,,,,,,,
23:00,14.4,Despejado,0,40%,0%,NNE,2.9,6,10,,,,,,,,,,
1,7, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,14.9,Despejado,0,33%,2%,SE,3.6,7.6,10,,,,,,,,,,
1:00,14.5,Despejado,0,34%,5%,ESE,4.3,9.1,10,,,,,,,,,,
2:00,13.8,Despejado,0,35%,18%,SSW,1.1,2.3,10,,,,,,,,,,
3:00,13.6,Despejado,0,36%,14%,ESE,1.8,3.8,10,,,,,,,,,,
4:00,13.6,Despejado,0,36%,15%,E,2.2,4.5,10,,,,,,,,,,
5:00,13.2,Despejado,0,36%,20%,E,2.9,6,10,,,,,,,,,,
6:00,13.2,Parcialmente nublado,0,36%,48%,ESE,3.2,6.8,10,,,,,,,,,,
7:00,13.9,Parcialmente nublado,0,35%,43%,SE,3.2,6.8,10,,,,,,,,,,
8:00,14.3,Soleado,0,35%,16%,SE,4.7,9.8,10,,,,,,,,,,
9:00,16.1,Soleado,0,31%,22%,SE,5.8,10.3,10,,,,,,,,,,
10:00,18.2,Parcialmente nublado,0,27%,47%,SE,5.8,8,10,,,,,,,,,,
11:00,20.5,Soleado,0,24%,18%,SSE,7.2,8.7,10,,,,,,,,,,
12:00,22,Soleado,0,23%,9%,N,2.2,2.6,10,,,,,,,,,,
13:00,23,Soleado,0,23%,8%,NNW,2.2,2.5,10,,,,,,,,,,
14:00,23.8,Soleado,0,23%,6%,NW,1.1,1.3,10,,,,,,,,,,
15:00,24.4,Soleado,0,24%,6%,SSW,4.3,5,10,,,,,,,,,,
16:00,24.7,Soleado,0,27%,6%,SW,6.8,8.3,10,,,,,,,,,,
17:00,24.4,Despejado,0,29%,6%,SW,7.9,10.8,10,,,,,,,,,,
18:00,20.6,Despejado,0,35%,7%,W,5,10.6,10,,,,,,,,,,
19:00,18.7,Despejado,0,40%,5%,WNW,7.2,15.1,10,,,,,,,,,,
20:00,17.5,Despejado,0,43%,4%,NW,7.6,15.9,10,,,,,,,,,,
21:00,16.8,Despejado,0,44%,3%,NNW,5.4,11.3,10,,,,,,,,,,
22:00,16.2,Despejado,0,44%,3%,N,4,8.3,10,,,,,,,,,,
23:00,15.6,Despejado,0,46%,2%,NNW,1.8,3.8,10,,,,,,,,,,
1,8, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,15.4,Despejado,0,47%,5%,NNE,1.1,2.3,10,,,,,,,,,,
1:00,14.9,Despejado,0,50%,5%,N,2.5,5.3,10,,,,,,,,,,
2:00,14.5,Despejado,0,52%,4%,N,0.4,0.8,10,,,,,,,,,,
3:00,14.2,Despejado,0,53%,4%,N,3.2,6.8,10,,,,,,,,,,
4:00,13.8,Despejado,0,55%,5%,N,3.2,6.8,10,,,,,,,,,,
5:00,13.5,Despejado,0,57%,4%,NNW,3.6,7.6,10,,,,,,,,,,
6:00,13.3,Despejado,0,61%,3%,NNW,4,8.3,10,,,,,,,,,,
7:00,13.1,Soleado,0,64%,4%,NNW,5.4,11.3,10,,,,,,,,,,
8:00,13.2,Soleado,0,68%,4%,NNW,5.4,11.3,10,,,,,,,,,,
9:00,15.6,Soleado,0,61%,5%,NW,3.2,5.3,10,,,,,,,,,,
10:00,17.9,Soleado,0,55%,4%,NW,4.7,6,10,,,,,,,,,,
11:00,19.9,Soleado,0,49%,3%,NNW,6.5,7.7,10,,,,,,,,,,
12:00,21.3,Soleado,0,44%,3%,N,6.8,7.9,10,,,,,,,,,,
13:00,22.3,Soleado,0,40%,2%,NNE,6.1,7.1,10,,,,,,,,,,
14:00,23.1,Soleado,0,37%,2%,NE,4.7,5.4,10,,,,,,,,,,
15:00,23.6,Soleado,0,35%,2%,ENE,4.7,5.4,10,,,,,,,,,,
16:00,23.6,Soleado,0,34%,3%,ENE,4.7,5.7,10,,,,,,,,,,
17:00,23.2,Soleado,0,34%,4%,ENE,4.7,6.2,10,,,,,,,,,,
18:00,19.8,Despejado,0,40%,4%,ENE,4.7,9.7,10,,,,,,,,,,
19:00,18,Despejado,0,43%,5%,N,4,8.3,10,,,,,,,,,,
20:00,17.2,Despejado,0,46%,6%,NW,6.8,14.4,10,,,,,,,,,,
21:00,16.6,Despejado,0,51%,8%,NW,8.3,17.4,10,,,,,,,,,,
22:00,16.1,Despejado,0,53%,7%,NNW,7.2,15.1,10,,,,,,,,,,
23:00,15.5,Despejado,0,55%,6%,N,4.3,9.1,10,,,,,,,,,,
1,9, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,15.2,Despejado,0,53%,2%,NW,6.1,12.9,10,,,,,,,,,,
1:00,14.8,Despejado,0,54%,2%,NNW,5.4,11.3,10,,,,,,,,,,
2:00,14.4,Despejado,0,55%,2%,NNW,4.7,9.8,10,,,,,,,,,,
3:00,14.4,Despejado,0,55%,2%,NNW,5.8,12.1,10,,,,,,,,,,
4:00,14.2,Despejado,0,55%,2%,NW,6.1,12.9,10,,,,,,,,,,
5:00,13.8,Despejado,0,56%,3%,NNW,5.4,11.3,10,,,,,,,,,,
6:00,13.5,Despejado,0,56%,3%,NNW,4,8.3,10,,,,,,,,,,
7:00,13.5,Soleado,0,56%,7%,NNW,3.6,7.6,10,,,,,,,,,,
8:00,13.9,Soleado,0,55%,8%,NW,4.7,9.8,10,,,,,,,,,,
9:00,16.3,Soleado,0,47%,7%,NNW,4,7,10,,,,,,,,,,
10:00,18.2,Soleado,0,41%,7%,NW,5,6.9,10,,,,,,,,,,
11:00,19.8,Soleado,0,36%,6%,NW,5,6.4,10,,,,,,,,,,
12:00,21.1,Soleado,0,32%,5%,NNW,4.3,5.2,10,,,,,,,,,,
13:00,22.1,Cielo cubierto,0,30%,100%,NNW,3.2,3.8,10,,,,,,,,,,
14:00,22.7,Cielo cubierto,0,28%,100%,N,2.5,3,10,,,,,,,,,,
15:00,23,Cielo cubierto,0,27%,100%,NNW,2.9,3.5,10,,,,,,,,,,
16:00,23.1,Soleado,0,27%,6%,N,2.9,3.7,10,,,,,,,,,,
17:00,22.5,Soleado,0,29%,7%,NNE,2.5,3.6,10,,,,,,,,,,
18:00,19.2,Despejado,0,35%,7%,NNE,3.2,6.8,10,,,,,,,,,,
19:00,18,Despejado,0,37%,8%,NNE,3.2,6.8,10,,,,,,,,,,
20:00,17.4,Despejado,0,39%,7%,NNE,2.9,6,10,,,,,,,,,,
21:00,17.1,Despejado,0,39%,8%,NNW,3.6,7.6,10,,,,,,,,,,
22:00,16.6,Despejado,0,40%,7%,NNE,2.2,4.5,10,,,,,,,,,,
23:00,16.7,Despejado,0,40%,18%,NW,4,8.3,10,,,,,,,,,,
2,0, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
0:00,16.4,Parcialmente nublado,0,40%,49%,SW,4,8.3,10,,,,,,,,,,
1:00,16.6,Parcialmente nublado,0,40%,50%,SSW,0.4,0.8,10,,,,,,,,,,
2:00,16.2,Nublado,0,41%,64%,NNW,2.5,5.3,10,,,,,,,,,,
3:00,16.2,Nublado,0,41%,76%,E,0.7,1.5,10,,,,,,,,,,
4:00,16.1,Nublado,0,42%,70%,NNW,5,10.6,10,,,,,,,,,,
5:00,15.9,Lluvia moderada a intervalos,"0,1",46%,85%,WNW,3.6,7.6,10,,,,,,,,,,
6:00,15.7,Parcialmente nublado,0,53%,48%,ENE,7.6,15.2,10,,,,,,,,,,
7:00,15.2,Parcialmente nublado,0,57%,50%,WNW,5.4,11.3,10,,,,,,,,,,
8:00,15.2,Parcialmente nublado,0,59%,45%,WNW,4,8.3,10,,,,,,,,,,
9:00,16.9,Soleado,0,52%,14%,ESE,0,0,10,,,,,,,,,,
10:00,19,Soleado,0,44%,11%,WNW,2.9,3.7,10,,,,,,,,,,
11:00,20.5,Soleado,0,38%,15%,SSW,4.3,5.3,10,,,,,,,,,,
12:00,22.2,Soleado,0,32%,6%,S,7.9,9.1,10,,,,,,,,,,
13:00,23.1,Soleado,0,28%,6%,SSW,8.3,9.5,10,,,,,,,,,,
14:00,23.4,Soleado,0,26%,7%,S,5.8,6.7,10,,,,,,,,,,
15:00,23.3,Soleado,0,25%,24%,SW,4.3,5.4,10,,,,,,,,,,
16:00,22.9,Soleado,0,26%,22%,WNW,5.8,7.5,10,,,,,,,,,,
17:00,21.4,Parcialmente nublado,0,31%,51%,W,6.8,10.9,10,,,,,,,,,,
18:00,19.8,Nublado,0,36%,64%,W,10.8,19.9,10,,,,,,,,,,
19:00,19.5,Cielo cubierto,0,39%,91%,W,11.9,22.1,10,,,,,,,,,,
20:00,19.2,Parcialmente nublado,0,41%,59%,WSW,6.8,12.9,10,,,,,,,,,,
21:00,18.7,Nublado,0,44%,84%,W,9.4,16.4,10,,,,,,,,,,
22:00,18.2,Nublado,0,48%,77%,NW,11.5,19.6,10,,,,,,,,,,
23:00,17.9,Cielo cubierto,0,51%,90%,NW,7.9,13.2,10,,,,,,,,,,
2,1, ,d,e, ,e,n,e,r,o,-,2,0,2,4,,,,
